Time (s) Run #1	Position (m) Run #1	Velocity (m/s) Run #1	Acceleration (m/s²) Run #1	h (m) Run #1	PE (J) Run #1	KE (J) Run #1	TE (J) Run #1	Time (s) Run #2	Position (m) Run #2	Velocity (m/s) Run #2	Acceleration (m/s²) Run #2	h (m) Run #2	PE (J) Run #2	KE (J) Run #2	TE (J) Run #2
0.000	0.13			0.13	0.04		0.04	0.000	1.43			1.43	0.50		-5.34
0.050	0.12	-0.01		0.12	0.04	1.37E-6	0.04	0.020	1.43	8.21		1.43	0.50	1.19	1.69
0.100	0.12	0.00	0.03	0.12	0.04	5.57E-8	0.04	0.040	1.76	-21.55	-816.13	1.76	0.61	8.22	8.83
0.150	0.13	-0.01	0.99	0.13	0.04	5.86E-7	0.04	0.060	0.15	-24.44	-4.73	0.15	0.05	10.57	10.62
0.200	0.12	-0.01	4.28	0.12	0.04	4.59E-7	0.04	0.080	0.13	-13.74	381.49	0.13	0.04	3.34	3.39
0.250	0.12	0.29	9.40	0.12	0.04	0.00	0.04	0.100	0.13	-0.17	317.46	0.13	0.04	5.14E-4	0.05
0.300	0.13	0.99	13.52	0.13	0.04	0.02	0.06	0.120	0.13	-0.04	115.33	0.13	0.04	3.05E-5	0.04
0.350	0.21	1.82	14.11	0.21	0.07	0.06	0.13	0.140	0.13	-0.04	1.43	0.13	0.04	3.31E-5	0.04
0.400	0.33	2.52	12.07	0.33	0.11	0.11	0.23	0.160	0.13	-0.03	0.61	0.13	0.04	1.64E-5	0.04
0.450	0.47	2.99	10.11	0.47	0.16	0.16	0.32	0.180	0.13	-0.01	0.58	0.13	0.04	1.84E-6	0.04
0.500	0.63	3.44	6.97	0.63	0.22	0.21	0.43	0.200	0.13	0.00	0.27	0.13	0.04	3.51E-8	0.04
0.550	0.81	3.94	-3.10	0.81	0.28	0.27	0.56	0.220	0.13	0.00	0.02	0.13	0.04	1.40E-7	0.04
0.600	1.02	3.66	-21.06	1.02	0.35	0.24	0.59	0.240	0.13	-0.01	-1.26	0.13	0.04	5.92E-7	0.04
0.650	1.26	1.83	-36.61	1.26	0.44	0.06	0.50	0.260	0.13	0.00	111.19	0.13	0.04	1.82E-7	0.04
0.700	1.28	-0.78	-36.60	1.28	0.44	0.01	0.45	0.280	0.12	-0.15	226.01	0.12	0.04	4.13E-4	0.04
0.750	1.10	-2.60	-21.12	1.10	0.38	0.12	0.50	0.300	0.13	13.49	116.02	0.13	0.04	3.22	3.26
0.800	0.95	-2.88	-2.97	0.95	0.33	0.15	0.48	0.320	0.11	13.62	-221.98	0.11	0.04	3.29	3.32
0.850	0.81	-2.40	7.67	0.81	0.28	0.10	0.38	0.340	1.76	0.14	-451.41	1.76	0.61	3.56E-4	0.61
0.900	0.70	-1.87	10.57	0.70	0.24	0.06	0.31	0.360	0.12	-13.44	-228.41	0.12	0.04	3.20	3.24
0.950	0.62	-1.31	10.41	0.62	0.22	0.03	0.25	0.380	0.13	-13.61	110.04	0.13	0.04	3.28	3.32
1.000	0.57	-0.80	9.75	0.57	0.20	0.01	0.21	0.400	0.13	-0.03	226.41	0.13	0.04	1.70E-5	0.04
1.050	0.55	-0.35	9.27	0.55	0.19	0.00	0.19	0.420	0.12	-0.07	122.02	0.12	0.04	8.12E-5	0.04
1.100	0.54	0.09	9.52	0.54	0.19	1.53E-4	0.19	0.440	0.12	0.18	20.23	0.12	0.04	5.77E-4	0.04
1.150	0.55	0.58	10.10	0.55	0.19	0.01	0.20	0.460	0.12	0.82	28.01	0.12	0.04	0.01	0.05
1.200	0.60	1.13	10.27	0.60	0.21	0.02	0.23	0.480	0.15	1.51	25.82	0.15	0.05	0.04	0.09
1.250	0.67	1.65	9.90	0.67	0.23	0.05	0.28	0.500	0.19	1.96	17.35	0.19	0.07	0.07	0.14
1.300	0.76	2.11	9.41	0.76	0.26	0.08	0.34	0.520	0.23	2.13	10.72	0.23	0.08	0.08	0.16
1.350	0.88	2.57	5.45	0.88	0.30	0.12	0.42	0.540	0.27	2.28	8.77	0.27	0.10	0.09	0.19
1.400	1.02	3.03	-6.26	1.02	0.35	0.16	0.52	0.560	0.33	2.48	9.18	0.33	0.11	0.11	0.22
1.450	1.18	2.36	-22.30	1.18	0.41	0.10	0.51	0.580	0.38	2.67	9.94	0.38	0.13	0.13	0.26
1.500	1.37	0.44	-30.72	1.37	0.47	0.00	0.48	0.600	0.43	2.85	10.90	0.43	0.15	0.14	0.29
1.550	1.24	-1.53	-22.87	1.24	0.43	0.04	0.47	0.620	0.49	3.11	11.06	0.49	0.17	0.17	0.34
1.600	1.09	-2.29	-6.18	1.09	0.38	0.09	0.47	0.640	0.55	3.35	9.19	0.55	0.19	0.20	0.39
1.650	1.00	-1.77	6.55	1.00	0.35	0.06	0.40	0.660	0.63	3.49	6.66	0.63	0.22	0.22	0.43
1.700	0.92	-1.18	10.51	0.92	0.32	0.02	0.34	0.680	0.70	3.57	6.32	0.70	0.24	0.23	0.47
